Bias Voltage[V],Measured Voltage[V],Signal Current[A],Total Current[A]
0.0,0.0,2.981052e-11,3.56616e-10
-5.0,-5.0,-1.091561e-10,-6.912908e-11
-10.0,-10.0,-2.989561e-10,-6.115999e-10
-15.0,-15.0,-9.812026e-10,-1.299805e-09
-20.0,-20.0,-3.496104e-09,-3.444114e-09
-25.0,-25.0,-1.558072e-08,-1.556938e-08
-30.0,-30.0,-1.857e-08,-1.888147e-08
-35.0,-35.0,-1.980414e-08,-1.980957e-08
-40.0,-40.0,-2.089756e-08,-2.105138e-08
-45.0,-45.0,-2.182013e-08,-2.218538e-08
-50.0,-50.0,-2.300941e-08,-2.329671e-08
-55.0,-55.0,-2.430544e-08,-2.484987e-08
-60.0,-60.0,-2.573091e-08,-2.62643e-08
-65.0,-65.0,-2.730075e-08,-2.774525e-08
-70.0,-70.0,-2.904589e-08,-2.966237e-08
-75.0,-75.0,-3.100279e-08,-3.156211e-08
-80.0,-80.0,-3.318444e-08,-3.359268e-08
-85.0,-85.0,-3.566035e-08,-3.643223e-08
-90.0,-90.0,-3.848123e-08,-3.919217e-08
-95.0,-95.0,-4.174023e-08,-4.239025e-08
-100.0,-100.0,-4.55139e-08,-4.597231e-08
-105.0,-105.0,-4.994247e-08,-5.064391e-08
-110.0,-110.0,-5.524821e-08,-5.58335e-08
-115.0,-115.0,-6.169869e-08,-6.224024e-08
-120.0,-120.0,-6.972343e-08,-7.031016e-08
-125.0,-125.0,-7.989166e-08,-8.065425e-08
-130.0,-130.0,-9.328206e-08,-9.399841e-08
-135.0,-135.0,-1.116455e-07,-1.126722e-07
-140.0,-140.0,-1.383808e-07,-1.394058e-07
-145.0,-145.0,-1.808566e-07,-1.817281e-07
-150.0,-150.0,-2.57112e-07,-2.576547e-07
-152.0,-152.0,-3.070697e-07,-3.081789e-07
-154.0,-154.0,-3.786117e-07,-3.798285e-07
-156.0,-156.0,-4.88426e-07,-4.891059e-07
-158.0,-158.0,-6.677677e-07,-6.68554e-07
-160.0,-160.0,-9.917895e-07,-9.707352e-07
-162.0,-162.0,-1.688326e-06,-1.688272e-06
-164.0,-164.0,-3.688629e-06,-3.69637e-06
-166.0,-166.0,-9.999048e-06,-9.99979e-06
